player_id,player_name,lg,mvp_count,mvp_seasons,roy_season,dpoy_count,dpoy_seasons,mip_count,mip_seasons,smoy_count,smoy_seasons,fmvp_count,fmvp_seasons
76504,Adrian Dantley,NBA,0,0,1976-77,0,0,0,0,0,0,0,0
76011,Alvan Adams,NBA,0,0,1975-76,0,0,0,0,0,0,0,0
78532,Jamaal Wilkes,NBA,0,0,1974-75,0,0,0,0,0,0,0,0
78520,Sidney Wicks,NBA,0,0,1971-72,0,0,0,0,0,0,0,0
600006,Earl Monroe,NBA,0,0,1967-68,0,0,0,0,0,0,0,0
600013,Rick Barry,NBA,0,0,1965-66,0,0,0,0,0,0,1,1974-75
87,Dikembe Mutombo,NBA,0,0,0,4,"2000-01, 1997-98, 1996-97, 1994-95",0,0,0,0,0,0
1112,Ben Wallace,NBA,0,0,0,4,"2005-06, 2004-05, 2002-03, 2001-02",0,0,0,0,0,0
203497,Rudy Gobert,NBA,0,0,0,3,"2020-21, 2018-19, 2017-18",0,0,0,0,0,0
2730,Dwight Howard,NBA,0,0,0,3,"2010-11, 2009-10, 2008-09",0,0,0,0,0,0
76631,Mark Eaton,NBA,0,0,0,2,"1988-89, 1984-85",0,0,0,0,0,0
202695,Kawhi Leonard,NBA,0,0,0,2,"2015-16, 2014-15",0,0,0,0,2,"2018-19, 2013-14"
77626,Sidney Moncrief,NBA,0,0,0,2,"1983-84, 1982-83",0,0,0,0,0,0
297,Alonzo Mourning,NBA,0,0,0,2,"1999-00, 1998-99",0,0,0,0,0,0
23,Dennis Rodman,NBA,0,0,0,2,"1990-91, 1989-90",0,0,0,0,0,0
948,Marcus Camby,NBA,0,0,0,1,2006-07,0,0,0,0,0,0
2199,Tyson Chandler,NBA,0,0,0,1,2011-12,0,0,0,0,0,0
76444,Michael Cooper,NBA,0,0,0,1,1986-87,0,0,0,0,0,0
201188,Marc Gasol,NBA,0,0,0,1,2012-13,0,0,0,0,0,0
203110,Draymond Green,NBA,0,0,0,1,2016-17,0,0,0,0,0,0
1628991,Jaren Jackson Jr,NBA,0,0,0,1,2022-23,0,0,0,0,0,0
201149,Joakim Noah,NBA,0,0,0,1,2013-14,0,0,0,0,0,0
56,Gary Payton,NBA,0,0,0,1,1995-96,0,0,0,0,0,0
926,Alvin Robertson,NBA,0,0,0,1,1985-86,1,1985-86,0,0,0,0
203935,Marcus Smart,NBA,0,0,0,1,2021-22,0,0,0,0,0,0
1897,Metta World Peace,NBA,0,0,0,1,2003-04,0,0,0,0,0,0
51,Mahmoud Abdul-Rauf,NBA,0,0,0,0,0,1,1992-93,0,0,0,0
201583,Ryan Anderson,NBA,0,0,0,0,0,1,2011-12,0,0,0,0
2240,Gilbert Arenas,NBA,0,0,0,0,0,1,2002-03,0,0,0,0
353,Darrell Armstrong,NBA,0,0,0,0,0,1,1998-99,1,1998-99,0,0
1134,Isaac Austin,NBA,0,0,0,0,0,1,1996-97,0,0,0,0
344,Dana Barros,NBA,0,0,0,0,0,1,1994-95,0,0,0,0
201166,Aaron Brooks,NBA,0,0,0,0,0,1,2009-10,0,0,0,0
202710,Jimmy Butler,NBA,0,0,0,0,0,1,2014-15,0,0,0,0
2564,Boris Diaw,NBA,0,0,0,0,0,1,2005-06,0,0,0,0
201609,Goran Dragic,NBA,0,0,0,0,0,1,2013-14,0,0,0,0
404,Kevin Duckworth,NBA,0,0,0,0,0,1,1987-88,0,0,0,0
107,Dale Ellis,NBA,0,0,0,0,0,1,1986-87,0,0,0,0
101145,Monta Ellis,NBA,0,0,0,0,0,1,2006-07,0,0,0,0
442,Pervis Ellison,NBA,0,0,0,0,0,1,1991-92,0,0,0,0
202331,Paul George,NBA,0,0,0,0,0,1,2012-13,0,0,0,0
101122,Danny Granger,NBA,0,0,0,0,0,1,2008-09,0,0,0,0
673,Alan Henderson,NBA,0,0,0,0,0,1,1997-98,0,0,0,0
1627742,Brandon Ingram,NBA,0,0,0,0,0,1,2019-20,0,0,0,0
134,Kevin Johnson,NBA,0,0,0,0,0,1,1988-89,0,0,0,0
201567,Kevin Love,NBA,0,0,0,0,0,1,2010-11,0,0,0,0
931,Don MacLean,NBA,0,0,0,0,0,1,1993-94,0,0,0,0
1628374,Lauri Markkanen,NBA,0,0,0,0,0,1,2022-23,0,0,0,0
203468,CJ McCollum,NBA,0,0,0,0,0,1,2015-16,0,0,0,0
1503,Tracy McGrady,NBA,0,0,0,0,0,1,2000-01,0,0,0,0
49,Gheorghe Muresan,NBA,0,0,0,0,0,1,1995-96,0,0,0,0
979,Jermaine O'Neal,NBA,0,0,0,0,0,1,2001-02,0,0,0,0
203506,Victor Oladipo,NBA,0,0,0,0,0,1,2017-18,0,0,0,0
203944,Julius Randle,NBA,0,0,0,0,0,1,2020-21,0,0,0,0
2216,Zach Randolph,NBA,0,0,0,0,0,1,2003-04,0,0,0,0
147,Jalen Rose,NBA,0,0,0,0,0,1,1999-00,0,0,0,0
938,Rony Seikaly,NBA,0,0,0,0,0,1,1989-90,0,0,0,0
1627783,Pascal Siakam,NBA,0,0,0,0,0,1,2018-19,0,0,0,0
2250,Bobby Simmons,NBA,0,0,0,0,0,1,2004-05,0,0,0,0
101,Scott Skiles,NBA,0,0,0,0,0,1,1990-91,0,0,0,0
2045,Hedo Turkoglu,NBA,0,0,0,0,0,1,2007-08,0,0,0,0
2037,Jamal Crawford,NBA,0,0,0,0,0,0,0,3,"2015-16, 2013-14, 2009-10",0,0
101150,Lou Williams,NBA,0,0,0,0,0,0,0,3,"2018-19, 2017-18, 2014-15",0,0
1450,Kevin McHale,NBA,0,0,0,0,0,0,0,2,"1984-85, 1983-84",0,0
894,Ricky Pierce,NBA,0,0,0,0,0,0,0,2,"1989-90, 1986-87",0,0
96,Detlef Schrempf,NBA,0,0,0,0,0,0,0,2,"1991-92, 1990-91",0,0
2571,Leandro Barbosa,NBA,0,0,0,0,0,0,0,1,2006-07,0,0
203903,Jordan Clarkson,NBA,0,0,0,0,0,0,0,1,2020-21,0,0
209,Dell Curry,NBA,0,0,0,0,0,0,0,1,1993-94,0,0
1938,Manu Ginobili,NBA,0,0,0,0,0,0,0,1,2007-08,0,0
2732,Ben Gordon,NBA,0,0,0,0,0,0,0,1,2004-05,0,0
201569,Eric Gordon,NBA,0,0,0,0,0,0,0,1,2016-17,0,0
1626149,Montrezl Harrell,NBA,0,0,0,0,0,0,0,1,2019-20,0,0
1629639,Tyler Herro,NBA,0,0,0,0,0,0,0,1,2021-22,0,0
1517,Bobby Jackson,NBA,0,0,0,0,0,0,0,1,2002-03,0,0
1712,Antawn Jamison,NBA,0,0,0,0,0,0,0,1,2003-04,0,0
77193,Bobby Jones,NBA,0,0,0,0,0,0,0,1,1982-83,0,0
389,Toni Kukoc,NBA,0,0,0,0,0,0,0,1,1995-96,0,0
330,Danny Manning,NBA,0,0,0,0,0,0,0,1,1997-98,0,0
193,Anthony Mason,NBA,0,0,0,0,0,0,0,1,1994-95,0,0
243,Aaron McKie,NBA,0,0,0,0,0,0,0,1,2000-01,0,0
1885,Lamar Odom,NBA,0,0,0,0,0,0,0,1,2010-11,0,0
361,Clifford Robinson,NBA,0,0,0,0,0,0,0,1,1992-93,0,0
915,Rodney Rogers,NBA,0,0,0,0,0,0,0,1,1999-00,0,0
2747,JR Smith,NBA,0,0,0,0,0,0,0,1,2012-13,0,0
317,John Starks,NBA,0,0,0,0,0,0,0,1,1996-97,0,0
78293,Roy Tarpley,NBA,0,0,0,0,0,0,0,1,1987-88,0,0
1891,Jason Terry,NBA,0,0,0,0,0,0,0,1,2008-09,0,0
722,Corliss Williamson,NBA,0,0,0,0,0,0,0,1,2001-02,0,0
1497,Chauncey Billups,NBA,0,0,0,0,0,0,0,0,0,1,2003-04
247,Joe Dumars,NBA,0,0,0,0,0,0,0,0,0,1,1988-89
2738,Andre Iguodala,NBA,0,0,0,0,0,0,0,0,0,1,2014-15
77141,Dennis Johnson,NBA,0,0,0,0,0,0,0,0,0,1,1978-79
77487,Cedric Maxwell,NBA,0,0,0,0,0,0,0,0,0,1,1980-81
2225,Tony Parker,NBA,0,0,0,0,0,0,0,0,0,1,2006-07
1718,Paul Pierce,NBA,0,0,0,0,0,0,0,0,0,1,2007-08
78318,Isiah Thomas,NBA,0,0,0,0,0,0,0,0,0,1,1989-90
2548,Dwyane Wade,NBA,0,0,0,0,0,0,0,0,0,1,2005-06
78510,Jo Jo White,NBA,0,0,0,0,0,0,0,0,0,1,1975-76
1460,James Worthy,NBA,0,0,0,0,0,0,0,0,0,1,1987-88
